simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	gps_time	geocent_time	geocent_time_ns
44	1.0898791	-0.45835559	2.0695006	2565.9025	28.083369	12.160905	0.22281791	-0.40014615	1010769572.300928	1010769572	284357905
45	0.18604324	0.97971655	2.2244909	5116.0133	47.496377	38.379301	-0.38005902	-0.095053839	1015170975.299711	1015170975	314699173
46	1.6944856	1.0691144	1.0522656	10952.032	70.687782	70.301909	-0.25305806	0.091071438	1030901611.507478	1030901611	523331523
47	3.6380115	0.4011416	1.1038149	5326.2559	108.67184	52.047384	0.31051353	-0.20836449	1003642471.302009	1003642471	296081305
49	4.2312141	-0.8744088	2.375872	6809.881	58.03444	53.523683	-0.11515616	-0.070930648	1030317790.539599	1030317790	529272795
50	2.7155738	0.21361054	0.8653318	9881.3975	137.15384	128.50562	0.083630714	0.017175658	1024798486.703803	1024798486	717663646
51	3.3313405	1.1008087	0.40343792	4249.6004	45.684267	34.521581	-0.026550656	-0.27833094	1014145725.440627	1014145725	449800253
53	4.1222321	-0.31219032	0.57521766	3224.9214	13.549868	13.397854	0.6583886	0.49984737	1008956192.14137	1008956192	142407060
54	0.095629601	0.85653819	2.1916611	3499.0762	43.397978	26.587568	0.66613665	0.34422046	1001456500.787542	1001456500	798343539
58	5.0108248	-0.30589353	2.4735549	3099.2771	10.541565	9.1877097	0.36756909	0.12101664	1027940190.844825	1027940190	841770530
59	6.0306987	-0.81557278	0.75767778	9424.3381	43.539936	28.894212	-0.34072544	0.38337175	1004538063.708529	1004538063	692686796
60	2.8573634	0.97193125	2.3381513	3981.0308	41.574296	40.874253	0.21375369	-0.052689305	1030532471.750775	1030532471	763855815
61	4.6927146	-0.23537323	1.8080204	11429.109	104.2996	87.128439	0.01071136	0.13363971	1020464172.465397	1020464172	448864460
64	0.43257443	-0.32710698	1.3239061	5066.2288	46.52642	39.135159	0.23699734	-0.31567202	1007135390.731207	1007135390	712867022
65	5.4253502	-0.72422199	2.5947265	12391.889	124.30099	90.859004	0.15248191	0.13615276	1024381093.356342	1024381093	351807833
66	4.5274938	-0.31407747	0.49975332	3752.9068	15.946987	14.443059	0.015899467	0.034347725	1004085051.909684	1004085051	894502997
68	0.095746356	-1.1546227	0.66890499	1766.9898	10.670948	10.485894	0.067684312	-0.4417065	1025102694.349748	1025102694	342272878
69	5.8084767	-1.4242627	2.3704911	8163.9586	22.271092	21.584363	0.26565871	0.65530831	1003494030.782369	1003494030	764211774
70	2.7463625	0.46729294	1.2496868	1649.9691	13.491537	13.455454	-0.34308194	-0.77136562	1026806228.359016	1026806228	352723360
71	4.2761222	0.97639061	1.206634	7817.9478	51.990409	30.999977	-0.0085219711	0.5212439	1004757965.838722	1004757965	849727511
72	4.8671329	0.92732173	2.4267232	3382.8538	27.770168	16.149526	0.044014616	-0.13723677	1002586644.004578	1002586644	23579359
73	1.8769165	-0.34140807	0.32122354	4707.6325	27.300196	18.536519	-0.45056419	0.16267519	1030419767.729437	1030419767	715176105
74	4.661411	1.0440732	1.1199382	5863.1126	45.523804	21.050314	0.30580563	-0.52220409	1017566020.399916	1017566020	411852598
75	4.975049	0.5507778	2.3764099	15026.36	129.21267	46.30991	-0.10039961	0.11860257	1028794995.363173	1028794995	372247696
76	4.2633803	-0.13669172	2.3429759	1890.1166	17.191268	10.821767	-0.20474472	-0.52085852	1013608960.13672	1013608960	151971579
77	4.437249	0.68050754	1.0797338	5469.454	103.54213	101.31507	-0.097839864	-0.019278878	1002246981.646118	1002246981	665441751
78	5.9677827	-0.23018212	1.9064892	8642.9519	88.005805	47.125586	-0.10183552	0.028125344	1030993984.709095	1030993984	696402669
79	6.0793588	1.063235	1.2580229	3423.9718	30.950748	30.00015	0.61518333	0.018450928	1014271656.109989	1014271656	116698861
81	4.54641	0.2090363	1.2068097	2546.1381	39.164801	31.260343	0.61122848	-0.64520617	1026319049.121459	1026319049	109420419
83	0.66977412	-0.085906351	1.4210047	2843.6899	81.568681	20.769976	-0.045641219	0.21645414	1030998794.173009	1030998794	159015417
84	6.2605634	-1.4007614	1.9456895	3525.7978	59.193799	48.327767	-0.072211163	0.10881116	1019720153.299892	1019720153	285042644
85	1.8457764	-0.61783318	2.4572055	2719.5158	10.360192	9.6644043	0.59759594	-0.013160082	1024571142.72807	1024571142	707879305
86	0.61939079	-0.49672163	0.53635523	15627.581	131.97516	86.610472	0.096532315	-0.4977249	1016267095.550926	1016267095	535978675
87	3.3801761	-0.76363213	0.53530922	4563.2396	34.261791	18.710669	-0.0069567863	-0.29616442	1006951260.691816	1006951260	687516928
88	1.0051665	-1.0091717	2.0958674	2938.703	12.945162	12.08762	-0.161322	-0.75199668	1023761506.818224	1023761506	811648965
89	4.450057	0.51688671	2.2090911	3443.246	18.672605	17.228824	0.037199947	0.049876983	1003074204.781376	1003074204	787176013
90	0.48591071	-0.64503264	0.8763886	13207.223	94.48336	90.342085	0.12974751	-0.19921375	1000843237.66554	1000843237	645036817
93	5.4000844	-0.3374765	2.2501447	13854.956	92.648851	39.332719	-0.057955826	0.063310784	1008231464.70923	1008231464	697802901
94	1.1529485	-0.29024175	2.0928531	2735.7784	30.012071	25.327178	0.037515156	0.095713987	1012094729.799172	1012094729	802819371
96	1.9216698	0.44273104	1.850282	4965.5579	53.495048	24.148859	-0.08688166	0.065156438	1001158142.143868	1001158142	157855034
98	1.2583383	-0.19285555	0.92976563	3603.0817	61.588338	27.448334	-0.2066546	0.088926923	1009809166.05323	1009809166	38585305
99	0.40871532	0.75547183	2.3309764	2535.9329	15.29172	12.831037	0.43349453	0.35648021	1010204946.711155	1010204946	722602487
100	1.68006	0.78005299	0.13546079	13505.063	184.27741	126.90525	0.46525505	0.60808165	1018964410.2684	1018964410	285062075
101	2.8736906	-0.26560925	0.55138085	2245.3251	23.239919	20.547837	0.35557649	0.034682983	1023217971.619156	1023217971	625994086
103	3.0681982	0.74295793	2.2439088	4511.3679	77.824873	42.03892	-0.13777191	0.076781263	1000913613.302488	1000913613	319148540
104	5.575625	0.60180714	2.2818349	2262.2881	24.25284	9.7995616	0.25106622	0.051873915	1008615949.787556	1008615949	801850915
105	2.6457336	0.54744887	0.52369878	3642.3477	43.582899	16.909906	0.08909531	0.44730325	1009563853.791044	1009563853	797264576
108	5.5164694	-0.27063924	0.60030055	5191.1749	12.751588	12.608026	-0.33763281	0.46853506	1005911835.26824	1005911835	253416538
109	4.5955322	0.61723823	0.97108186	2118.2769	33.327765	22.807218	-0.71055404	-0.69217454	1007947007.11217	1007947007	127729297
110	4.6309987	0.22720199	2.0720328	6183.4558	90.028324	70.349136	0.17683301	-0.75544091	1024475989.281874	1024475989	297505260
111	5.4713304	0.21415803	2.5890341	6620.191	23.435361	21.877948	-0.02774931	0.23405744	1010642803.831287	1010642803	822970629
112	0.94677627	0.4966129	0.73315683	7623.3537	56.541028	51.025752	0.54718041	0.32119458	1029551936.250305	1029551936	242391706
113	3.2127928	-0.089126663	0.7391705	2982.4694	26.030671	17.163065	-0.38918377	0.36197502	1011757125.667474	1011757125	668170452
115	2.3243759	-0.30111502	1.1995948	3364.3785	24.260254	21.175031	-0.010130919	0.22921142	1002631716.605786	1002631716	609471798
116	2.0413923	0.99141729	0.84020526	3232.6317	25.62408	18.199062	-0.024482127	-0.11975188	1020282552.250473	1020282552	266113281
117	4.7156625	-0.18678385	2.1486219	5861.8419	82.37656	51.271314	0.017297222	-0.029931066	1029491109.41593	1029491109	410007358
119	2.6557243	0.51028258	0.95737932	4306.3928	49.062087	31.421155	-0.085881544	-0.068240561	1029604974.847854	1029604974	864557862
121	5.3445853	-1.4426732	0.78192787	13843.497	85.628502	67.676446	-0.11099456	-0.16688504	1028107892.495293	1028107892	483448863
122	4.1831399	-0.77817228	2.4176341	5700.3235	37.273849	31.191508	-0.071258164	0.011995975	1030425005.887623	1030425005	876178861
123	1.0223138	0.73047324	2.6587299	5752.6886	25.054592	19.840706	0.5892258	-0.31037203	1018559311.673871	1018559311	686041713
124	4.057466	0.14071588	0.58716278	3752.1922	64.400972	55.908269	0.0041900606	-0.72496935	1024087633.890089	1024087633	888603449
126	1.5388677	0.18276506	2.8151137	2415.3004	18.084338	16.367592	-0.13469414	0.54572986	1031114589.869534	1031114589	866636157
128	0.18754843	0.41949663	0.52888097	14050.509	94.851815	83.767192	0.34392895	0.2647059	1016398634.511286	1016398634	530148864
129	5.7134544	-0.40678555	1.9390389	9015.5134	122.55264	41.717221	-0.10977729	-0.028565104	1018848743.04943	1018848743	35145760
130	4.6423479	-0.26952312	2.1749407	6911.6288	37.901361	29.676065	0.056435447	0.27949363	1003845335.401065	1003845335	389639735
131	0.35817629	1.4545898	1.2730155	4410.8368	48.456592	37.559986	-0.048451242	-0.022353666	1027441818.530223	1027441818	543786407
132	0.5808899	0.24411899	0.28610987	3061.7484	31.902837	25.276462	-0.1988241	-0.44067309	1022415448.507141	1022415448	516906500
133	0.52804329	0.78690536	2.1083644	4356.9704	23.023455	22.700528	-0.09240223	-0.022993682	1017194536.151521	1017194536	169499040
134	4.2690116	-0.061137693	2.7058954	680.77988	11.817591	8.9510656	-0.0089876369	-0.22090113	1008010698.884913	1008010698	874503255
136	5.5357393	0.80019704	2.3988681	5059.2702	22.210786	12.604969	-0.33136889	0.30553691	1029039832.305167	1029039832	319552183
137	4.017008	0.42275281	2.81135	7443.0787	30.33669	20.47488	-0.034038919	0.12678198	1018780228.369053	1018780228	385938883
138	6.2328929	-0.54661009	0.80578592	2057.8362	19.820905	14.881023	0.043044215	0.75220036	1010657645.56863	1010657645	549678683
139	5.8244631	0.52840468	2.4912199	4492.4388	34.397932	31.345955	0.10021884	-0.3406992	1009353807.312424	1009353807	312180638
141	2.1862017	-0.8375199	0.74289449	4750.9932	22.344053	18.383876	-0.76885426	0.57315813	1003097034.54857	1003097034	529235959
143	4.990501	-0.9071116	2.2888904	9521.1384	137.95717	124.14221	0.53710807	-0.21371255	1006447147.42953	1006447147	417817354
144	0.05168436	-0.25507858	1.6827463	3693.2887	49.585996	33.317583	-0.18446465	0.017406628	1000212722.047732	1000212722	45961380
145	2.367254	-0.83634745	1.160279	2453.5036	15.14851	14.052785	0.56377558	0.70752507	1004002226.464163	1004002226	453439474
146	4.6813076	-0.043299642	2.907973	4892.4386	20.839181	16.994221	0.12071114	-0.68659294	1000850546.273252	1000850546	290994763
147	5.316041	-0.36437903	2.7959523	4524.8079	43.222301	13.455883	-0.076594345	0.0025985808	1016133118.263758	1016133118	264616251
148	4.0999009	-0.090454874	1.8194624	874.78629	27.776193	24.516817	0.019274124	-0.072171956	1009999616.451059	1009999616	458785415
149	0.97042825	-0.06666626	2.0158091	2765.5795	45.957703	37.638009	-0.13304489	-0.013974059	1013534365.627293	1013534365	624608994
150	2.8606838	0.56947421	1.4548353	1536.0598	9.2125307	8.6161539	0.011235589	-0.063710857	1030143755.66207	1030143755	678165317
151	4.0838712	-0.79493072	2.3354544	1100.2561	11.524686	10.728088	-0.097655462	-0.8743848	1001432910.417473	1001432910	404800892
152	3.2767747	0.9134734	0.44330497	6335.3123	62.271849	51.855943	-0.11274936	0.6350153	1029536003.767308	1029536003	787091613
153	4.8325791	-0.097964561	0.74807848	3263.2574	45.209885	44.307786	-0.52118204	0.067040858	1020706415.993489	1020706415	983252525
154	5.5009141	-0.17377547	1.0804789	6672.2923	98.264266	93.069132	-0.019852388	-0.178281	1002931365.328466	1002931365	336882949
155	5.8838557	0.48679221	2.5003009	8628.3578	81.107096	80.200942	-0.13208436	-0.0025536249	1004482724.230771	1004482724	247567296
156	6.0119545	-1.1535771	0.14941762	1209.0757	50.636331	40.525591	-0.22126951	0.42701536	1003993121.227591	1003993121	215655446
158	0.47507898	-0.74164806	2.3119869	8630.3649	89.192026	75.352158	0.51579678	-0.031562777	1015927486.998179	1015927486	979091048
161	2.7419625	-0.50480672	2.4628698	4770.9018	54.259341	53.790099	0.39510264	-0.087414373	1026682847.18952	1026682847	194459438
162	1.1105487	0.82005496	1.5249145	7086.1798	75.089248	74.603657	0.39380732	-0.11599003	1020876272.396213	1020876272	416147351
166	0.95551504	0.69030263	2.3541575	11824.898	50.465824	39.245154	-0.32458791	0.18222466	1022341006.181077	1022341006	192836404
169	6.2597598	0.80035851	0.69931728	8081.1613	133.80917	30.137013	-0.04335629	0.091024928	1001224084.589716	1001224084	608448386
171	6.0278027	-0.19066726	1.2959904	6476.2798	78.361628	44.535466	0.098094402	0.061006312	1014659293.3233	1014659293	334558964
172	0.99040646	-0.37038544	1.8474947	8047.759	93.967144	83.69421	0.61788878	0.58003665	1029245345.885826	1029245345	893958807
176	0.47044054	0.42175121	2.3994197	1864.178	29.240799	13.670256	0.006737803	0.17429904	1026579540.884031	1026579540	890175700
178	3.4922749	-0.10799461	2.07267	4571.0259	65.483995	26.839092	0.49006698	-0.040967152	1026231724.283101	1026231724	274742126
179	1.780635	1.2002866	2.7671723	6182.6783	83.651459	48.10675	-0.43869877	-0.036803375	1010738205.725132	1010738205	744822860
181	2.5099022	-0.46217604	0.50719575	13022.649	76.071547	64.106058	0.2974931	0.12121866	1011635452.306937	1011635452	288436413
182	4.795416	0.73058723	0.31974626	8391.0591	36.371192	30.589434	-0.077502607	0.0048448365	1014035816.877504	1014035816	888034225
183	1.3956603	-1.2660667	2.9460804	919.78413	24.906359	19.120549	-0.50193971	0.5862925	1002281812.567885	1002281812	557929397
185	2.0035075	0.40060293	0.84250621	9544.864	72.808602	37.144726	0.37857247	-0.04056888	1011678597.071019	1011678597	88155389
186	1.2701497	0.50903324	1.3350434	3602.9349	24.224662	18.269735	0.0083926315	0.72069099	1007451439.328158	1007451439	345400214
187	4.3150997	-0.45159131	1.4363089	1124.1543	21.797346	19.650527	-0.51490358	-0.18880109	1022597941.890261	1022597941	873213291
189	3.1144181	1.3880121	1.7152249	3053.2803	45.861779	12.736052	0.73677643	-0.068663039	1025487965.731528	1025487965	745540261
190	2.8954901	0.57095428	0.78108207	6303.0684	88.918615	81.150221	0.024998955	0.035362167	1026798935.601636	1026798935	609191537
193	0.84090406	-0.22855045	1.9820236	2426.1265	35.292162	13.671929	-0.051917482	0.00080159989	1031438426.05178	1031438426	33843875
195	6.1694653	0.030839916	2.5417799	3043.2632	20.46728	17.611222	-0.24229624	0.57772088	1009756222.435233	1009756222	450876832
196	3.2218531	0.30020593	0.3873792	10080.383	104.24686	76.74999	-0.50129773	-0.4016693	1019953440.700349	1019953440	711374879
197	4.5066651	0.64139551	2.3743805	1260.0956	34.131751	19.970616	0.43543776	-0.14389289	1028256687.967081	1028256687	987454772
199	2.5780972	1.1593851	2.5099406	1596.6165	11.697613	11.558645	0.12403375	0.066370999	1003108857.420072	1003108857	428742051
200	5.8686323	-0.79365218	1.452062	764.97193	18.031412	14.781546	-0.11627034	-0.016110296	1006925108.84545	1006925108	837353706
201	1.9133264	0.20788158	1.9018954	2433.1412	48.542765	45.198233	0.00073206794	0.24568364	1008581699.486725	1008581699	503069162
202	2.8140475	0.52099376	2.1691563	9220.4576	114.22724	76.899475	-0.21672903	-0.15428923	1021767327.459967	1021767327	475790620
204	2.7179866	0.65510702	1.5491001	2034.9418	22.334637	16.759762	0.57358605	-0.0054577234	1025985601.786561	1025985601	807591677
206	0.69752575	-0.89610433	1.2500364	12758.424	232.59098	146.28795	0.67496536	-0.041235041	1030475199.836441	1030475199	819756985
207	0.20984697	-0.45787573	2.9881901	3394.2929	19.343169	16.222114	-0.16210402	-0.51885306	1006259588.379338	1006259588	366033196
208	2.0153718	1.3420803	0.95202426	6741.2254	70.996554	62.549119	0.33331307	-0.0034486934	1007206955.47327	1007206955	489763737
209	2.1965948	-0.086377238	2.2211906	5440.7753	75.130759	64.799808	0.0075163454	-0.0037528933	1024341186.732482	1024341186	745926380
210	1.218786	0.39883608	2.4088833	6155.1148	53.36587	37.698128	-0.24185262	-0.0026487049	1019720294.054924	1019720294	50692320
211	0.80694327	0.8322233	2.6935985	10889.596	27.504968	20.111793	-0.5826934	0.098155537	1022178543.297642	1022178543	321855068
213	0.038218481	0.46366202	2.6574655	3094.4748	28.899738	23.490357	0.096139573	-0.064580149	1011316110.069514	1011316110	86654902
214	4.5389157	-0.65553513	1.0375041	4148.8017	26.214157	19.92803	0.41172014	-0.029832998	1021405486.090895	1021405486	73061943
215	2.2165817	-0.75852093	2.508324	2801.9417	20.043921	14.409275	0.14031389	0.53469442	1030636486.374512	1030636486	378471613
216	5.5051321	0.050254106	0.82048145	5666.0681	35.087405	34.178587	-0.10805013	0.72097637	1014429488.484426	1014429488	479878902
219	4.9400749	0.52530458	1.1392076	1035.601	8.2151864	7.7620694	-0.030633294	-0.15886965	1007884583.779496	1007884583	772562742
220	0.10425469	-0.16732832	0.6388176	6194.6827	60.301264	48.740182	0.0073354567	-0.7943176	1006789427.854626	1006789427	843685508
224	3.0569089	0.9074797	2.5501729	11666.51	63.430929	49.159933	-0.56872038	0.013830316	1029448768.25375	1029448768	271961212
225	0.45868496	0.10008695	0.74320921	5346.8846	39.190874	36.272387	-0.26096366	-0.34197924	1019159905.972346	1019159905	985483885
226	5.3578454	0.17907621	0.83921817	7387.1533	36.612708	30.095804	0.24115429	-0.13191171	1002810121.08209	1002810121	69840074
228	5.6746339	0.10984089	0.42313593	4531.9817	18.318141	15.846182	-0.045813658	0.11493674	1025752078.867073	1025752078	869725704
229	4.9908091	-0.67873118	2.7085307	7663.2463	27.455542	18.524866	-0.010337153	-0.11417773	1015035743.099235	1015035743	73479891
230	4.8629806	-0.55997492	2.5077268	7943.2938	92.904384	36.867864	0.33009394	-0.42428105	1014950432.492554	1014950432	472764373
231	0.83339644	1.3764665	0.99643216	3966.3554	64.676333	61.725755	-0.04572663	0.18084039	1003307702.77766	1003307702	794621825
233	4.0548123	-0.039764765	2.4650193	5293.6627	47.239714	36.632575	-0.59259274	0.054420114	1017656149.654326	1017656149	669284105
234	4.3730818	0.26958522	0.64237817	7370.6114	65.280997	54.346983	0.19923437	0.049783997	1002110865.671721	1002110865	666663647
237	4.244908	1.0552826	1.3087568	6707.5699	63.001742	47.706492	-0.136137	0.029578535	1012310163.168049	1012310163	184700489
238	0.037074737	-0.14685485	2.4260667	11370.903	198.08238	135.02333	-0.0026524924	-0.33594266	1007017537.516246	1007017537	518586516
239	5.6431367	-1.2181225	2.8876174	2473.5496	16.017383	9.3704629	0.00056225603	-0.19783695	1017366760.164253	1017366760	146998882
240	2.2487002	0.027051423	0.89099758	3774.3706	39.733995	34.852929	-0.11276824	0.15439546	1016808217.391711	1016808217	378409624
241	5.1596691	0.88966503	1.0944212	7255.0138	27.316217	24.447629	0.17808026	0.59254078	1017495528.606529	1017495528	624373913
242	5.6379312	0.57520769	1.1273484	4898.939	32.159936	24.938409	-0.40215114	0.1154778	1031207735.827922	1031207735	842183113
243	3.3952525	0.58264291	1.4408815	5564.4084	58.960701	50.985492	0.25690002	0.067740797	1002063996.305273	1002063996	318320632
244	0.161999	0.059637243	0.92897029	2482.439	32.273299	19.481768	-0.079427035	-0.37966127	1004429388.656196	1004429388	660443306
246	1.2365736	-0.25875314	1.0690861	2649.4216	14.114187	13.598384	-0.38112002	-0.043170558	1020303854.656499	1020303854	640978932
247	6.0821135	0.53421802	1.4320494	1798.5773	13.752641	9.7379861	0.92163412	-0.0024996134	1004710204.037479	1004710204	30380726
248	4.5028397	0.24378239	1.6844342	3966.1062	54.266332	49.913043	0.19561059	-0.27652228	1015170933.356808	1015170933	371875644
249	1.6860173	0.94731929	2.0224333	1906.838	44.793033	32.880655	0.3114961	0.011969775	1005702498.539222	1005702498	548677564
251	0.081080042	0.48578562	0.33412349	2646.1084	20.148606	15.057201	-0.15903503	0.32984235	1023379179.372161	1023379179	392883778
252	4.6928648	0.19545063	2.7567484	2368.6533	13.521209	11.381959	0.20653844	0.2472062	1003007029.642488	1003007029	660043359
253	1.3082259	0.40019835	2.215137	3144.4138	12.642208	11.17919	0.22716036	0.26190268	1000624454.022392	1000624454	41498303
254	0.85529671	0.50724751	0.42495027	3445.286	32.351885	29.345265	-0.0078068674	-0.20012195	1004069186.381806	1004069186	397872567
255	4.3427902	0.89983532	1.4968054	4206.5301	40.352186	30.417099	0.36820333	0.25365609	1031089044.910508	1031089044	927843332
256	1.1461062	0.59111843	2.6991777	14266.119	130.33626	111.4595	0.27447798	0.065877317	1019335581.878021	1019335581	901341081
257	3.7539149	-1.1841494	3.051582	4729.2311	35.639825	22.758921	0.04835598	0.091742601	1016722724.107443	1016722724	90822339
258	1.2595047	1.098755	0.9432296	4958.4491	46.626238	45.076167	-0.0037159933	-0.20537601	1020037181.568317	1020037181	581283689
261	4.680194	-0.16609324	2.2740781	13183.907	101.5201	96.873147	0.20624858	0.78035394	1022910217.763391	1022910217	774882436
263	4.0784776	-0.08073029	1.8429079	2049.3737	27.203296	21.830559	-0.029324548	-0.11757236	1030926664.960779	1030926664	974140882
264	4.7291722	0.88396534	0.8169807	1215.5944	23.249958	18.227883	-0.32805812	0.50583669	1000088684.543127	1000088684	563928008
265	5.4898457	0.47505339	2.7481212	14180.21	90.673305	46.759651	0.17957415	0.0083757831	1020786603.956999	1020786603	971329451
266	1.395747	-0.67561971	2.9693074	7794.0767	28.775812	16.36172	-0.14968743	0.14502736	1025666539.830864	1025666539	815513015
267	2.6284838	0.75130413	2.3097709	2184.5897	11.952753	11.049917	-0.12804355	-0.32620416	1025808590.082234	1025808590	99223852
268	0.28227043	0.68798306	0.8975477	1328.2512	21.296248	14.075082	-0.56305932	-0.28490145	1000892119.910173	1000892119	925318003
269	1.633145	0.45241578	1.2832167	6778.0646	91.147853	79.449851	0.1183183	0.33882393	1029124320.829567	1029124320	826900721
271	4.3898167	0.60928386	1.0141445	6186.4938	144.04133	73.810862	-0.0055868827	-0.10508147	1025267724.320853	1025267724	324322104
275	3.1976938	-0.25849316	0.3565614	3655.24	43.473622	21.618562	-0.069145078	0.061908991	1030922299.118268	1030922299	118842602
276	1.8984826	0.95429249	0.60554551	7633.9056	85.021927	54.488187	-0.4298115	0.55252348	1022862815.663161	1022862815	675213695
278	5.8875337	-0.057033324	2.8353878	3784.8215	41.517316	27.698889	-0.30198279	0.049047038	1020793633.966514	1020793633	973940372
279	0.6530971	-0.24491507	2.5677519	4438.7579	47.979442	30.208352	-0.46596744	0.25587965	1020280155.836469	1020280155	844921947
280	3.6039545	0.091435503	0.43374769	2523.9242	12.087597	10.676618	-0.17526254	0.065747872	1025199039.644559	1025199039	640237212
281	5.9654944	0.92502616	1.3497035	14434.037	89.379004	41.382816	0.68460368	-0.17267577	1018972290.506481	1018972290	520471096
282	3.7057213	-0.85042532	1.0765391	4210.9871	45.535824	38.523699	-0.46863257	0.011435251	1017844456.08258	1017844456	70015550
284	2.0209798	-0.65646597	2.6704427	11971.274	82.02966	59.25749	0.46093502	0.47276025	1001524626.691644	1001524626	687547565
287	4.5556185	0.50804401	2.5254805	1773.253	27.445968	20.340101	0.065022979	0.72562055	1001240023.895874	1001240023	893541098
289	3.6933284	-0.80759749	0.23416623	3973.4151	94.411277	75.235679	0.44724002	0.066769475	1027428680.192661	1027428680	172728539
